🚀 處理範圍: 1500 ~ 2000 (共 500 users)
no23mi -> 410 outfits | ⏱ 351.51s | avg 156.76s                                                               
morimai0519 -> 448 outfits | ⏱ 368.14s | avg 157.64s                                                          
kanau429 -> 531 outfits | ⏱ 559.46s | avg 159.32s                                                             
Users:  48%|███████████████████████████▎     ❌ download fail: https://images.wear2.jp/coordinate/V7ipk8Yx/s9acs2Yu/1747444087_276.jpg | HTTPSConnectionPool(host='images.wear2.jp', port=443): Read timed out. (read timeout=10)
sn22tofu -> 720 outfits | ⏱ 471.53s | avg 160.61s                                                             
momonyan1176 -> 262 outfits | ⏱ 268.46s | avg 161.06s                                                         
apart0588 -> 615 outfits | ⏱ 484.10s | avg 162.39s                                                            
yu7711 -> 104 outfits | ⏱ 66.55s | avg 162.00s                                                                
miisk0083 -> 671 outfits | ⏱ 527.32s | avg 163.49s                                                            
onkiti0501 -> 167 outfits | ⏱ 204.01s | avg 163.65s                                                           
matsukolepsim -> 167 outfits | ⏱ 205.58s | avg 163.82s                                                        
ykkkkk29 -> 286 outfits | ⏱ 284.80s | avg 164.31s                                                             
i0am0eriiiiiii -> 974 outfits | ⏱ 639.89s | avg 166.22s                                                       
amamikanoheya -> 347 outfits | ⏱ 311.15s | avg 166.80s                                                        
koyuki727 -> 230 outfits | ⏱ 243.42s | avg 167.10s                                                            
y9lfk -> 56 outfits | ⏱ 140.20s | avg 167.00s                                                                 
kiyohiton -> 6 outfits | ⏱ 5.36s | avg 166.36s                                                                
93nana -> 765 outfits | ⏱ 582.66s | avg 168.00s                                                               
reeena0053 -> 212 outfits | ⏱ 231.22s | avg 168.24s                                                           
asadaaayumi -> 58 outfits | ⏱ 142.37s | avg 168.14s                                                           
ms10271 -> 806 outfits | ⏱ 603.49s | avg 169.84s                                                              
haco_iyu -> 0 outfits | ⏱ 1.93s | avg 169.19s                                                                 
henmi1108 -> 63 outfits | ⏱ 140.72s | avg 169.08s                                                             
mami789 -> 191 outfits | ⏱ 222.66s | avg 169.28s                                                              
kzga3 -> 33 outfits | ⏱ 118.68s | avg 169.09s                                                                 
kumiko1227 -> 317 outfits | ⏱ 295.05s | avg 169.57s                                                           
iena0994 -> 0 outfits | ⏱ 1.90s | avg 168.93s                                                                 
point2014_04 -> 0 outfits | ⏱ 1.87s | avg 168.30s                                                             
y4r7k3 -> 42 outfits | ⏱ 26.47s | avg 167.76s                                                                 
8810sin -> 52 outfits | ⏱ 33.81s | avg 167.26s                                                                
namba13 -> 51 outfits | ⏱ 32.07s | avg 166.75s                                                                
renhyo -> 82 outfits | ⏱ 53.41s | avg 166.33s                                                                 
peike0312 -> 76 outfits | ⏱ 52.52s | avg 165.91s                                                              
shunatan317 -> 0 outfits | ⏱ 1.88s | avg 165.30s                                                              
harukou4 -> 538 outfits | ⏱ 432.28s | avg 166.29s                                                             
nakaharakirara -> 49 outfits | ⏱ 134.07s | avg 166.17s                                                        
skrk0412 -> 167 outfits | ⏱ 107.86s | avg 165.95s                                                             
ami1004ami -> 61 outfits | ⏱ 151.25s | avg 165.90s                                                            
harutoavi -> 0 outfits | ⏱ 1.92s | avg 165.30s                                                                
ships_1305myama -> 63 outfits | ⏱ 142.73s | avg 165.22s                                                       
xoxosparklexoxo -> 0 outfits | ⏱ 1.88s | avg 164.63s                                                          
mm_6206 -> 102 outfits | ⏱ 168.56s | avg 164.65s                                                              
ms07270 -> 294 outfits | ⏱ 191.44s | avg 164.74s                                                              
amigon88 -> 29 outfits | ⏱ 19.56s | avg 164.22s                                                               
nfaansstaff13 -> 365 outfits | ⏱ 301.82s | avg 164.71s                                                        
SHIPS_7501amhi -> 780 outfits | ⏱ 481.53s | avg 165.84s                                                       
daijitakasu -> 47 outfits | ⏱ 134.74s | avg 165.73s                                                           
akarins -> 0 outfits | ⏱ 1.86s | avg 165.15s                                                                  
wu17 -> 94 outfits | ⏱ 69.04s | avg 164.81s                                                                   
nol_00366 -> 628 outfits | ⏱ 580.44s | avg 166.27s                                                            
